"STRING_ID","EN_US"
"APPLICATION_NAME","Example SDK Application"
"APPLICATION_DISCIPLINE","Discipline"
"APPLICATION_SUB_DISCIPLINE","SubDiscipline"
"MOD_01_NAME","Single Player Example"
"MOD_01_SPECIALITY","Module 01 Speciality"
"MOD_01_SUMMARY","Example single player module"
"MOD_01_DESCRIPTION","This is an example of a single player module and includes multiple different steps including assessed steps.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut."
"LOGGING_OUT_WAIT","Logging Out,\nPlease Wait"
"RETURN_TO_LOBBY_WAIT","Returning to the Lobby,\nPlease Wait"
"MOD_01_UNIT_00_NAME","Unit 1"
"MOD_01_STEP_00_NAME","Step 1"
"MOD_01_STEP_01_NAME","Step 2"
"MOD_01_STEP_02_NAME","Step 3"
"MOD_01_STEP_02_SUB_A_NAME","Step 3A"
"MOD_01_STEP_02_SUB_B_NAME","Step 3B"
"MOD_01_STEP_03_NAME","Step 4"
"MOD_01_STEP_04_NAME","Step 5"
"MOD_01_STEP_05_NAME","Step 6"
"MOD_01_STEP_06_NAME","Step 7"
"MOD_01_UNIT_01_NAME","Unit 2"
"MOD_01_STEP_07_NAME","Step 8"
"MOD_01_STEP_08_NAME","Step 9"
"MOD_01_PAGE_INFO_GENERIC_0_TITLE","Step 1 Title"
"MOD_01_PAGE_INFO_GENERIC_0_SUBTITLE","Step 1 Subtitle"
"MOD_01_PAGE_INFO_GENERIC_0_INSTRUCTIONS","The first step is an example of a non assessed information step.\n\nOnce the user has read the text, they are instructed to press the <b>NEXT</b> button to advance to the next step.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit. Ut."
"MOD_01_PAGE_INFO_GENERIC_0_FIRST_IMAGE_TEXT","Step 1 image description"
"MOD_01_PAGE_INFO_GENERIC_1_TITLE","Step 2 Title"
"MOD_01_PAGE_INFO_GENERIC_1_FIRST_IMAGE_TEXT","Step 2 first image description"
"MOD_01_PAGE_INFO_GENERIC_1_SECOND_IMAGE_TEXT","Step 2 second image description"
"MOD_01_PAGE_INFO_GENERIC_2_TITLE","Step 3 Title"
"MOD_01_PAGE_INFO_GENERIC_2_SUBTITLE","Interaction"
"MOD_01_PAGE_INFO_GENERIC_2_INSTRUCTIONS","The third step is an example of an interaction step.\n\nThe user is given a set of instructions to complete.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
"MOD_01_PAGE_INFO_GENERIC_2B_TITLE","Step 3 Title"
"MOD_01_PAGE_INFO_GENERIC_2B_SUBTITLE","Interaction Feedback"
"MOD_01_PAGE_INFO_GENERIC_2B_INSTRUCTIONS","The user is informed whether or not they have passed or failed the step.\n\nFor this example, the user has failed the assessment.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu."
"MOD_01_PAGE_INFO_GENERIC_3_TITLE","Step 4 Title"
"MOD_01_PAGE_INFO_GENERIC_3_INSTRUCTIONS","The forth step is an example of a non assessed animation step. Once the animation has finished playing, the user is instructed to press the <b>NEXT</b> button to advance to the next step."
"MOD_01_PAGE_INFO_GENERIC_3_FIRST_IMAGE_TEXT","Step 4 image description"
"MOD_01_PAGE_INFO_GENERIC_4_TITLE","Step 5 - Interaction"
"MOD_01_PAGE_INFO_GENERIC_4_INSTRUCTIONS","The fifth step is an example of an interaction step.\n\nThe user is given a set of instructions to complete.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea."
